name,gp,gf
아스널 FC,10,24
맨체스터 시티 FC,10,33
토트넘 핫스퍼 FC,11,22
첼시 FC,10,15
맨체스터 유나이티드 FC,10,15
뉴캐슬 유나이티드 FC,11,18
리버풀 FC,10,22
브라이튼 앤 호브 알비온 FC,10,14
브렌트포드 FC,11,18
크리스탈 팰리스 FC,10,12
AFC 본머스,11,10
풀럼 FC,10,16
웨스트햄 유나이티드 FC,11,9
사우샘프턴 FC,11,10
에버턴 FC,11,8
리즈 유나이티드 FC,9,11
애스턴 빌라 FC,10,7
울버햄튼 원더러스 FC,11,5
노팅엄 포레스트 FC,11,7
레스터 시티 FC,10,15
